106.5 16 -1.301740002291
107 16 -1.4231152477898
107.5 16 -1.5223899981803
108 16 -1.5663093107799
108.5 16 -4.0710799997428
109 16 -10.019265667849
109.5 16 -18.828170052372
110 16 -74.099765349201
110.5 16 -72.956419982023
111 16 -61.371116250456
111.5 16 -68.855330006494
112 16 -74.951378852997
112.5 16 -34.473199962005
113 16 -150.38163844995
113.5 16 -203.37656000486
114 16 -66.776527337862
114.5 16 -9.596059958606
115 16 -168.94021834738
115.5 16 -328.70210004103
116 16 -329.93238629313
116.5 16 -326.87047991758
117 16 -325.27058012006
117.5 16 -320.41336988668
118 16 -318.52041894176
118.5 16 -290.53940014409
106.5 16.5 -1.3145500614406
107 16.5 -1.4156481114307
107.5 16.5 -1.4159822043771
108 16.5 -3.8670730936536
108.5 16.5 -8.6291862132544
109 16.5 -9.8716930836674
109.5 16.5 -43.180745703068
110 16.5 -99.34720986876
110.5 16.5 -107.40797675301
111 16.5 -73.975511000092
111.5 16.5 -27.042435084925
112 16.5 -40.362727195352
112.5 16.5 -29.02033920791
113 16.5 -119.04995413412
113.5 16.5 -183.34437844983
114 16.5 -205.41847259475
114.5 16.5 -148.81629647533
115 16.5 -241.51018088262
115.5 16.5 -320.72556176002
116 16.5 -286.83197749541
116.5 16.5 -305.06647121375
117 16.5 -319.28166134402
117.5 16.5 -316.65275443528
118 16.5 -312.6238100566
118.5 16.5 -298.18354205255
106.5 17 -1.3416099996945
107 17 -1.4329770475366
107.5 17 -5.323750001943
108 17 -7.4434121709645
108.5 17 -9.6600600009102
109 17 -10.279176315809
109.5 17 -4.3476200097918
110 17 -81.715714752623
110.5 17 -119.88527006199
111 17 -114.88633743109
111.5 17 -58.440159999011
112 17 -59.960506138779
112.5 17 -64.141379975747
113 17 -142.98667880726
113.5 17 -183.87589005677
114 17 -249.40026242277
114.5 17 -184.09204014355
115 17 -226.16604048451
115.5 17 -281.91260998113
116 17 -325.72787760295
116.5 17 -319.28579997079
117 17 -322.46674802733
117.5 17 -311.30329008487
118 17 -316.1036781713
118.5 17 -309.26809972487
106.5 17.5 -1.3518073897259
107 17.5 -4.7609576525864
107.5 17.5 -6.3313619606101
108 17.5 -8.6269491443164
108.5 17.5 -8.5055077118768
109 17.5 -7.9968852720601
109.5 17.5 -10.373755662722
110 17.5 -16.11502657897
110.5 17.5 -79.458600165114
111 17.5 -129.07101980525
111.5 17.5 -100.07571226168
112 17.5 -112.75043914305
112.5 17.5 -114.2389034438
113 17.5 -108.54820840369
113.5 17.5 -216.58896485762
114 17.5 -278.00222542908
114.5 17.5 -280.53243415737
115 17.5 -246.52030023923
115.5 17.5 -288.24382080034
116 17.5 -313.30162392582
116.5 17.5 -309.31180512309
117 17.5 -307.28429003205
117.5 17.5 -319.89957165452
118 17.5 -307.50855218842
118.5 17.5 -316.9029960753
106.5 18 -1.3334799988649
107 18 -5.7566586548265
107.5 18 -7.0954499989728
